object_category,schema_name,parent_name,object_name,definition
column,public,commerce_timeline_events,created_at,8|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_timeline_events,detail,6|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,commerce_timeline_events,event_type,4|text|pg_catalog|text|NO||NO|
column,public,commerce_timeline_events,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,commerce_timeline_events,stage,3|text|pg_catalog|text|NO||NO|
column,public,commerce_timeline_events,title,5|text|pg_catalog|text|NO||NO|
column,public,commerce_timeline_events,workflow_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,commerce_workflows,blocked_reason,8|text|pg_catalog|text|YES||NO|
column,public,commerce_workflows,bundle_recommendation_id,3|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_workflows,coupang_registration_job_id,17|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_workflows,created_at,9|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_workflows,current_stage,6|text|pg_catalog|text|NO|'market_discovered'::text|NO|
column,public,commerce_workflows,discovery_recommendation_id,2|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_workflows,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,commerce_workflows,last_transition_at,15|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,commerce_workflows,lifecycle_type,13|text|pg_catalog|text|NO|'single'::text|NO|
column,public,commerce_workflows,listing_draft_id,11|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_workflows,metadata,16|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,commerce_workflows,procurement_order_id,4|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_workflows,stage_version,14|integer|pg_catalog|int4|NO|1|NO|
column,public,commerce_workflows,status,7|text|pg_catalog|text|NO|'active'::text|NO|
column,public,commerce_workflows,updated_at,10|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_workflows,workflow_code,12|text|pg_catalog|text|YES||NO|
column,public,commerce_workflows,workflow_name,5|text|pg_catalog|text|NO||NO|
column,public,competition_analyses,competition_score,4|numeric|pg_catalog|numeric|NO|50|NO|
column,public,competition_analyses,created_at,12|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,competition_analyses,data_confidence,8|numeric|pg_catalog|numeric|NO|30|NO|
column,public,competition_analyses,demand_score,3|numeric|pg_catalog|numeric|NO|50|NO|
column,public,competition_analyses,differentiation_score,5|numeric|pg_catalog|numeric|NO|50|NO|
column,public,competition_analyses,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,competition_analyses,price_competitiveness_score,7|numeric|pg_catalog|numeric|NO|50|NO|
column,public,competition_analyses,project_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,competition_analyses,raw_data,11|jsonb|pg_catalog|jsonb|YES||NO|
column,public,competition_analyses,review_barrier_score,6|numeric|pg_catalog|numeric|NO|50|NO|
column,public,competition_analyses,source_collected_at,10|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,competition_analyses,source_type,9|text|pg_catalog|text|NO|'MANUAL'::text|NO|
column,public,coupang_registration_attempts,action,4|text|pg_catalog|text|NO||NO|
column,public,coupang_registration_attempts,attempt_no,3|integer|pg_catalog|int4|NO||NO|
column,public,coupang_registration_attempts,created_at,11|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,coupang_registration_attempts,duration_ms,10|integer|pg_catalog|int4|YES||NO|
column,public,coupang_registration_attempts,error_message,9|text|pg_catalog|text|YES||NO|
column,public,coupang_registration_attempts,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,coupang_registration_attempts,job_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,coupang_registration_attempts,request_payload,5|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,coupang_registration_attempts,response_payload,7|jsonb|pg_catalog|jsonb|YES||NO|
column,public,coupang_registration_attempts,response_status,6|integer|pg_catalog|int4|YES||NO|
column,public,coupang_registration_attempts,success,8|boolean|pg_catalog|bool|NO|false|NO|
column,public,coupang_registration_jobs,attempt_count,14|integer|pg_catalog|int4|NO|0|NO|
column,public,coupang_registration_jobs,coupang_status,11|text|pg_catalog|text|YES||NO|
column,public,coupang_registration_jobs,created_at,18|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,coupang_registration_jobs,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,coupang_registration_jobs,job_code,4|text|pg_catalog|text|NO||NO|
column,public,coupang_registration_jobs,last_error,13|text|pg_catalog|text|YES||NO|
column,public,coupang_registration_jobs,listing_draft_id,3|bigint|pg_catalog|int8|NO||NO|
column,public,coupang_registration_jobs,mode,6|text|pg_catalog|text|NO|'validate'::text|NO|
column,public,coupang_registration_jobs,next_retry_at,15|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,coupang_registration_jobs,payload_snapshot,7|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,coupang_registration_jobs,registered_at,17|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,coupang_registration_jobs,registration_response,12|jsonb|pg_catalog|jsonb|YES||NO|
column,public,coupang_registration_jobs,seller_product_id,9|text|pg_catalog|text|YES||NO|
column,public,coupang_registration_jobs,status,5|text|pg_catalog|text|NO|'queued'::text|NO|
column,public,coupang_registration_jobs,submitted_at,16|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,coupang_registration_jobs,updated_at,19|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,coupang_registration_jobs,validation_issues,8|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,coupang_registration_jobs,vendor_item_ids,10|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,coupang_registration_jobs,workflow_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,coupang_seller_product_snapshots,brand,5|text|pg_catalog|text|YES||NO|
column,public,coupang_seller_product_snapshots,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,coupang_seller_product_snapshots,observed_at,8|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,coupang_seller_product_snapshots,raw_payload,7|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,coupang_seller_product_snapshots,registration_type,6|text|pg_catalog|text|YES||NO|
column,public,coupang_seller_product_snapshots,seller_product_id,2|text|pg_catalog|text|NO||NO|
column,public,coupang_seller_product_snapshots,seller_product_name,3|text|pg_catalog|text|YES||NO|
column,public,coupang_seller_product_snapshots,status_name,4|text|pg_catalog|text|YES||NO|
column,public,domestic_supplier_products,bundle_recommendation_id,4|bigint|pg_catalog|int8|YES||NO|
column,public,domestic_supplier_products,created_at,15|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,domestic_supplier_products,current_unit_cost,11|numeric|pg_catalog|numeric|NO|0|NO|
column,public,domestic_supplier_products,discovery_recommendation_id,3|bigint|pg_catalog|int8|YES||NO|
column,public,domestic_supplier_products,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,domestic_supplier_products,last_checked_at,14|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,domestic_supplier_products,mapping_status,13|text|pg_catalog|text|NO|'active'::text|NO|
column,public,domestic_supplier_products,minimum_order_quantity,10|integer|pg_catalog|int4|NO|1|NO|
column,public,domestic_supplier_products,provider,5|text|pg_catalog|text|NO|'domeggook'::text|NO|
column,public,domestic_supplier_products,provider_product_id,6|text|pg_catalog|text|NO||NO|
column,public,domestic_supplier_products,provider_product_name,8|text|pg_catalog|text|NO||NO|
column,public,domestic_supplier_products,provider_product_url,7|text|pg_catalog|text|YES||NO|
column,public,domestic_supplier_products,provider_sku,9|text|pg_catalog|text|YES||NO|
column,public,domestic_supplier_products,stock_status,12|text|pg_catalog|text|NO|'unknown'::text|NO|
column,public,domestic_supplier_products,supplier_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,domestic_supplier_products,updated_at,16|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,fulfillment_providers,api_config,19|jsonb|pg_catalog|jsonb|YES||NO|
column,public,fulfillment_providers,contact,5|text|pg_catalog|text|YES||NO|
column,public,fulfillment_providers,coupang_inbound_fee,16|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,created_at,22|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,fulfillment_providers,domeggook_partner,9|boolean|pg_catalog|bool|NO|false|NO|
