table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,ai_product_recommendations,6,market_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_product_recommendations,7,growth_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_product_recommendations,8,competition_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_product_recommendations,9,risk_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_product_recommendations,10,profit_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_product_recommendations,11,confidence,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_product_recommendations,12,estimated_units_low,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_product_recommendations,13,estimated_units_high,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_product_recommendations,14,target_sale_price,numeric,pg_catalog,numeric,null,14,2,YES,null,NO,null
public,ai_product_recommendations,15,target_cost_price,numeric,pg_catalog,numeric,null,14,2,YES,null,NO,null
public,ai_product_recommendations,16,target_margin_rate,numeric,pg_catalog,numeric,null,8,3,YES,null,NO,null
public,ai_product_recommendations,17,recommendation_reason,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_product_recommendations,18,evidence,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_product_recommendations,19,model_version,text,pg_catalog,text,null,null,null,NO,'discovery-v1'::text,NO,null
public,ai_product_recommendations,20,generated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_product_recommendations,21,reviewed_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,ai_product_recommendations,22,decision_run_id,bigint,pg_catalog,int8,null,64,0,YES,null,NO,null
public,ai_product_recommendations,23,decision_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_product_recommendations,24,decision_action,text,pg_catalog,text,null,null,null,NO,'review'::text,NO,null
public,ai_product_recommendations,25,supply_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_product_recommendations,26,season_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_product_recommendations,27,risk_explanation,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_workers,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_workers,2,worker_code,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_workers,3,worker_name,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_workers,4,role,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_workers,5,status,text,pg_catalog,text,null,null,null,NO,'idle'::text,NO,null
public,ai_workers,6,current_mission,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_workers,7,current_job,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_workers,8,performance_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_workers,9,automation_level,integer,pg_catalog,int4,null,32,0,NO,1,NO,null
public,ai_workers,10,last_activity_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,ai_workers,11,metadata,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_workers,12,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_workers,13,updated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,commerce_project_components,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,commerce_project_components,2,project_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,commerce_project_components,3,product_id,bigint,pg_catalog,int8,null,64,0,YES,null,NO,null
public,commerce_project_components,4,product_no,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,commerce_project_components,5,title,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,commerce_project_components,6,quantity,integer,pg_catalog,int4,null,32,0,NO,1,NO,null
public,commerce_project_components,7,unit_supply_price,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
