schema_name,table_name,index_name,definition
public,domestic_supplier_products,idx_domestic_supplier_products_candidate,"CREATE INDEX idx_domestic_supplier_products_candidate ON public.domestic_supplier_products USING btree (discovery_recommendation_id, bundle_recommendation_id)"
public,fulfillment_providers,fulfillment_providers_pkey,CREATE UNIQUE INDEX fulfillment_providers_pkey ON public.fulfillment_providers USING btree (id)
public,fulfillment_providers,fulfillment_providers_provider_code_key,CREATE UNIQUE INDEX fulfillment_providers_provider_code_key ON public.fulfillment_providers USING btree (provider_code)
public,inbound_orders,inbound_orders_pkey,CREATE UNIQUE INDEX inbound_orders_pkey ON public.inbound_orders USING btree (id)
public,inbound_orders,inbound_orders_project_idx,CREATE INDEX inbound_orders_project_idx ON public.inbound_orders USING btree (project_id)
public,inbound_orders,inbound_orders_provider_idx,CREATE INDEX inbound_orders_provider_idx ON public.inbound_orders USING btree (provider_id)
public,inventory_balances,inventory_balances_pkey,CREATE UNIQUE INDEX inventory_balances_pkey ON public.inventory_balances USING btree (id)
public,inventory_balances,inventory_balances_project_id_product_id_provider_id_key,"CREATE UNIQUE INDEX inventory_balances_project_id_product_id_provider_id_key ON public.inventory_balances USING btree (project_id, product_id, provider_id)"
public,inventory_balances,inventory_balances_project_idx,CREATE INDEX inventory_balances_project_idx ON public.inventory_balances USING btree (project_id)
public,knowledge_assets,knowledge_assets_pkey,CREATE UNIQUE INDEX knowledge_assets_pkey ON public.knowledge_assets USING btree (id)
public,knowledge_assets,knowledge_assets_type_idx,"CREATE INDEX knowledge_assets_type_idx ON public.knowledge_assets USING btree (asset_type, status, updated_at DESC)"
public,listing_draft_revisions,idx_listing_revisions_draft,"CREATE INDEX idx_listing_revisions_draft ON public.listing_draft_revisions USING btree (listing_draft_id, revision DESC)"
public,listing_draft_revisions,listing_draft_revisions_listing_draft_id_revision_key,"CREATE UNIQUE INDEX listing_draft_revisions_listing_draft_id_revision_key ON public.listing_draft_revisions USING btree (listing_draft_id, revision)"
public,listing_draft_revisions,listing_draft_revisions_pkey,CREATE UNIQUE INDEX listing_draft_revisions_pkey ON public.listing_draft_revisions USING btree (id)
public,listing_drafts,idx_listing_drafts_status,"CREATE INDEX idx_listing_drafts_status ON public.listing_drafts USING btree (status, updated_at DESC)"
public,listing_drafts,idx_listing_drafts_workflow,"CREATE INDEX idx_listing_drafts_workflow ON public.listing_drafts USING btree (workflow_id, created_at DESC)"
public,listing_drafts,listing_drafts_pkey,CREATE UNIQUE INDEX listing_drafts_pkey ON public.listing_drafts USING btree (id)
public,market_ai_decisions,market_ai_decisions_pkey,CREATE UNIQUE INDEX market_ai_decisions_pkey ON public.market_ai_decisions USING btree (id)
public,market_ai_decisions,market_ai_decisions_product_created_idx,"CREATE INDEX market_ai_decisions_product_created_idx ON public.market_ai_decisions USING btree (market_product_id, created_at DESC)"
public,market_analysis_runs,market_analysis_runs_pkey,CREATE UNIQUE INDEX market_analysis_runs_pkey ON public.market_analysis_runs USING btree (id)
public,market_collection_jobs,market_collection_jobs_collector_key_market_keyword_id_key,"CREATE UNIQUE INDEX market_collection_jobs_collector_key_market_keyword_id_key ON public.market_collection_jobs USING btree (collector_key, market_keyword_id)"
public,market_collection_jobs,market_collection_jobs_due_idx,"CREATE INDEX market_collection_jobs_due_idx ON public.market_collection_jobs USING btree (status, next_run_at, priority DESC)"
public,market_collection_jobs,market_collection_jobs_pkey,CREATE UNIQUE INDEX market_collection_jobs_pkey ON public.market_collection_jobs USING btree (id)
public,market_collection_runs,market_collection_runs_pkey,CREATE UNIQUE INDEX market_collection_runs_pkey ON public.market_collection_runs USING btree (id)
public,market_collectors,market_collectors_collector_key_key,CREATE UNIQUE INDEX market_collectors_collector_key_key ON public.market_collectors USING btree (collector_key)
public,market_collectors,market_collectors_pkey,CREATE UNIQUE INDEX market_collectors_pkey ON public.market_collectors USING btree (id)
public,market_estimates,market_estimates_pkey,CREATE UNIQUE INDEX market_estimates_pkey ON public.market_estimates USING btree (id)
public,market_estimates,market_estimates_product_created_idx,"CREATE INDEX market_estimates_product_created_idx ON public.market_estimates USING btree (market_product_id, created_at DESC)"
public,market_feature_snapshots,market_feature_snapshots_pkey,CREATE UNIQUE INDEX market_feature_snapshots_pkey ON public.market_feature_snapshots USING btree (id)
